Title,Release_Year
Lara Croft: Tomb Raider: The Cradle of Life,2003
Tyler Perry's Madea's Witness Protection,2012
Bad Boys,1995
Anaconda,1997
Deuce Bigalow: Male Gigolo,1999
Witness,1985
The Taking of Pelham 123,2009
Step Up,2006
Hannah Montana/Miley Cyrus: Best of Both Worlds…,2008
Battleship,2012
The Amityville Horror,2005
Lethal Weapon,1987
Jack the Giant Slayer,2013
The Visit,2015
Now You See Me 2,2016
Barbershop 2: Back in Business,2004
Think Like a Man Too,2014
Exodus: Gods and Kings,2014
Wolf,1994
About Schmidt,2002
Friday the 13th,2009
Pitch Perfect,2012
Antarctica,1991
Song of the South,1946
Stuart Little 2,2002
Mirror Mirror,2012
The Living Sea,1995
Mr. Mom,1983
Flushed Away,2006
L.A. Confidential,1997
Chronicle,2012
The Happening,2008
The Purge,2013
The Wedding Ringer,2015
Field of Dreams,1989
Miracle,2004
A Dog’s Purpose,2017
Jackass: The Movie,2002
The Nut Job,2014
Down to Earth,2001
17 Again,2009
Ice Age: Collision Course,2016
Life,1999
Déjà Vu,2006
Happy Feet Two,2011
Diary of a Wimpy Kid,2010
Sky High,2005
Last Vegas,2013
Scent of a Woman,1992
Dirty Dancing,1987
Staying Alive,1983
In & Out,1997
Mona Lisa Smile,2003
Working Girl,1988
The Witches of Eastwick,1987
What About Bob?,1991
Unknown,2011
Babe,1995
Thunderball,1965
The Fifth Element,1997
Risky Business,1983
Hope Springs,2012
A Fish Called Wanda,1988
Miami Vice,2006
She's All That,1999
The Time Traveler's Wife,2009
Tango & Cash,1989
Bewitched,2005
Saw IV,2007
The Holiday,2006
Dave,1993
Madea's Family Reunion,2006
Forgetting Sarah Marshall,2008
The Sorcerer's Apprentice,2010
A Star is Born,1976
Beavis and Butt-head Do America,1996
Rising Sun,1993
The Boss,2016
A Nightmare on Elm Street,2010
The Last Song,2010
Jarhead,2005
The Fast and the Furious: Tokyo Drift,2006
Splash,1984
Black Mass,2015
The Crying Game,1992
London Has Fallen,2016
Patton,1970
The Adjustment Bureau,2011
Spy Game,2001
Underworld: Awakening,2012
Underworld: Evolution,2006
The Wolfman,2010
Down and Out in Beverly Hills,1986
Mouse Hunt,1997
Ender's Game,2013
Miracles from Heaven,2016
Cinderella Man,2005
Deepwater Horizon,2016
National Lampoon’s Vacation,1983
The Goonies,1985
The Saint,1997
Stomp the Yard,2007
Rules of Engagement,2000
Flatliners,1990
The Cell,2000
Friday Night Lights,2004
Misery,1990
Get Him to the Greek,2010
The Shaggy Dog,2006
Devil's Advocate,1997
Prisoners,2013
Mission to Mars,2000
Harlem Nights,1989
Coyote Ugly,2000
God’s Not Dead,2014
Poseidon,2006
Three Kings,1999
Jingle All the Way,1996
Kiss the Girls,1997
After Earth,2013
Fantasia 2000 (IMAX),2000
Baby Mama,2008
Shanghai Knights,2003
The Lucky One,2012
The Wedding Planner,2001
Burn After Reading,2008
Why Him?,2016
The Cable Guy,1996
Resident Evil: Afterlife,2010
Hope Floats,1998
Why Did I Get Married Too?,2010
The Family Stone,2005
Bad Santa,2003
Brüno,2009
Species,1995
The American President,1995
The Tooth Fairy,2010
Snow Day,2000
Superman III,1983
Jungle 2 Jungle,1997
The Good Shepherd,2006
Little Miss Sunshine,2006
The Benchwarmers,2006
Predator,1987
Son of God,2014
Secretariat,2010
My Big Fat Greek Wedding 2,2016
The Dictator,2012
Hellboy,2004
Gothika,2003
Spies Like Us,1985
The Last Boy Scout,1991
The Stepford Wives,2004
Love Actually,2003
Scrooged,1988
Planes: Fire and Rescue,2014
The Grand Budapest Hotel,2014
Courage Under Fire,1996
Dawn of the Dead,2004
Vacation,2015
Far and Away,1992
Total Recall,2012
Surf's Up,2007
Behind Enemy Lines,2001
Bride Wars,2009
Water for Elephants,2011
Jack Reacher: Never Go Back,2016
Honey I Blew Up the Kid,1992
Curious George,2006
Little Man,2006
Jack,1996
RoboCop,2014
Sea of Love,1989
HouseSitter,1992
Funny Girl,1968
Death Becomes Her,1992
Anastasia,1997
Easy A,2010
Open Range,2003
Halloween,2007
The Secret Life of Walter Mitty,2013
Bicentennial Man,1999
Ali,2001
Without a Paddle,2004
Demolition Man,1993
Baywatch,2017
Step Up 2 the Streets,2008
My Girl,1991
The Lincoln Lawyer,2011
The Butterfly Effect,2004
Red Eye,2005
Shall We Dance?,2004
U.S. Marshals,1998
Invincible,2006
Takers,2010
The Chronicles of Riddick,2004
Fences,2016
Life is Beautiful,1998
The Cider House Rules,1999
The Cannonball Run,1981
Pet Sematary,1989
Dragnet,1987
The Shack,2017
Moulin Rouge,2001
Blood Diamond,2006
The Specialist,1994
Sister Act 2 Back in the Habit,1993
The Godfather: Part II,1974
Willow,1988
The Whole Nine Yards,2000
The Blues Brothers,1980
Next Friday,2000
Chariots of Fire,1981
"What's Up, Doc?",1972
Twelve Monkeys,1995
13 Going On 30,2004
Unlawful Entry,1992
Annie,1982
Beaches,1988
The Perfect Guy,2015
Escape From Planet Earth,2013
Memoirs of a Geisha,2005
Cleopatra,1963
Beethoven,1992
The Man in the Iron Mask,1998
Dunkirk,2017
Shanghai Noon,2000
Midnight in Paris,2011
American Reunion,2012
Saw V,2008
A Civil Action,1998
2001: A Space Odyssey,1968
Guess Who's Coming to Dinner,1967
The Time Machine,2002
Executive Decision,1996
12 Years a Slave,2013
Rat Race,2001
Clueless,1995
Tombstone,1993
Joy,2015
The Queen,2006
Drumline,2002
Once Upon a Time in Mexico,2003
Me Before You,2016
Boyz n the Hood,1991
Just Married,2003
The Fantastic Four,2015
White Noise,2005
A Knight’s Tale,2001
The Big Chill,1983
Primal Fear,1996
Wallace & Gromit: The Curse of the Were-Rabbit,2005
ParaNorman,2012
Dracula Untold,2014
Romeo Must Die,2000
Saw,2004
Forever Young,1992
Be Cool,2005
Friends with Benefits,2011
The Animal,2001
Free Birds,2013
Hansel & Gretel: Witch Hunters,2013
In Search of Noah's Ark,1977
Eyes Wide Shut,1999
Legend of the Guardians: The Owls of Ga'Hoole,2010
The Aristocats,1970
Snake Eyes,1998
Never Say Never Again,1983
What Dreams May Come,1998
The BFG,2016
Never Been Kissed,1999
The Haunting in Connecticut,2009
Neighbors 2: Sorority Rising,2016
Police Academy 2: Their First Assignment,1985
Crash,2005
Ghosts of Girlfriends Past,2009
Why Did I Get Married?,2007
Small Soldiers,1998
The Shallows,2016
I am Number Four,2011
Halloween: H2O,1998
The Guardian,2006
Don’t Say a Word,2001
Spawn,1997
The Jackal,1997
Alien 3,1992
For Your Eyes Only,1981
Starship Troopers,1997
Office Christmas Party,2016
This Means War,2012
Doc Hollywood,1991
Project X,2012
Source Code,2011
Assassin’s Creed,2016
The Omen,2006
New Year’s Eve,2011
Horrible Bosses 2,2014
The Woman in Black,2012
The Abyss,1989
Evil Dead,2013
The Hundred-Foot Journey,2014
The Count of Monte Cristo,2002
La Bamba,1987
TMNT,2007
The Hateful Eight,2015
Final Destination 3,2006
Barbershop: The Next Cut,2016
Insidious,2011
Dolphins,2000
The Verdict,1982
Edward Scissorhands,1990
Paranormal Activity 4,2012
Austin Powers: International Man of Mystery,1997
Focus,2015
Tin Cup,1996
Paycheck,2003
T-Rex: Back to the Cretaceous,1998
Rambo III,1988
"P.S., I Love You",2007
The Three Musketeers,1993
Jet Li's Hero,2004
3:10 to Yuma,2007
Rookie of the Year,1993
Problem Child,1990
Sabrina,1995
RoboCop,1987
Throw Momma From the Train,1987
Life as We Know It,2010
"Yours, Mine and Ours",2005
The Corpse Bride,2005
Madea's Big Happy Family,2011
Final Destination,2000
Sleepers,1996
Papillon,1973
The Devil Inside,2012
RED 2,2013
Arachnophobia,1990
The Prestige,2006
Letters to Juliet,2010
To the Limit,1989
Blow,2001
Forces of Nature,1999
My Cousin Vinny,1992
Sweeney Todd: The Demon Barber of Fleet Street,2007
Varsity Blues,1999
Message in a Bottle,1999
Outrageous Fortune,1987
13 Hours: The Secret Soldiers of Benghazi,2016
Kicking and Screaming,2005
Grand Canyon: The Hidden Secrets,1984
The Recruit,2003
Gandhi,1982
Unfaithful,2002
Four Weddings and a Funeral,1994
Diary of a Wimpy Kid: Rodrick Rules,2011
Beethoven's 2nd,1993
King Kong,1976
The Strangers,2008
No Good Deed,2014
Tyler Perry's A Madea Christmas,2013
Wall Street 2: Money Never Sleeps,2010
Southpaw,2015
Blade: Trinity,2004
The Royal Tenenbaums,2001
Radio,2003
The Lake House,2006
Ordinary People,1980
The Color of Money,1986
Stand by Me,1986
Insidious Chapter 3,2015
Star Trek V: The Final Frontier,1989
10,1979
Identity,2003
Selma,2015
The Forbidden Kingdom,2008
"South Park: Bigger, Longer & Uncut",1999
Predators,2010
Tyler Perry's Temptation,2013
Amadeus,1984
Underworld,2003
King Arthur,2004
The Call,2013
Funny People,2009
The Odd Life of Timothy Green,2012
Footloose,2011
Ghost Rider: Spirit of Vengeance,2012
Finding Forrester,2000
The Little Rascals,1994
Exit Wounds,2001
Hubble 3D,2010
I Can Do Bad All By Myself,2009
Lion,2016
Finding Neverland,2004
Awakenings,1990
The Grey,2012
My Bloody Valentine,2009
A Cinderella Story,2004
Sneakers,1992
Like Mike,2002
Enemy at the Gates,2001
Hoodwinked,2006
Dragonheart,1996
Hooper,1978
Dennis the Menace,1993
Broadcast News,1987
The Phantom of the Opera,2004
The Living Daylights,1987
Muppets Most Wanted,2014
Hide and Seek,2005
Goldfinger,1964
The Silver Streak,1976
"Oh, God!",1977
All the President's Men,1976
Up Close & Personal,1996
Naked Gun 33 1/3: The Final Insult,1994
The Hitchhiker's Guide to the Galaxy,2005
Atonement,2007
Bull Durham,1988
The Tale of Despereaux,2008
Apocalypto,2006
Something to Talk About,1995
Ouija,2014
The Boxtrolls,2014
Syriana,2005
The Road to El Dorado,2000
A Bridge Too Far,1977
The Mighty Ducks,1992
Resident Evil: Apocalypse,2004
Bonnie and Clyde,1967
The Hurricane,1999
The Deep,1977
Resident Evil: Extinction,2007
The Crow,1994
Mighty Joe Young,1998
The Net,1995
The Tuxedo,2002
Jack Ryan: Shadow Recruit,2014
The Love Bug,1969
Music and Lyrics,2007
Eddie Murphy Raw,1987
If I Stay,2014
The Nightmare Before Christmas,1993
Diary of a Mad Black Woman,2005
A View to a Kill,1985
K-PAX,2001
Natural Born Killers,1994
Hot Tub Time Machine,2010
Serendipity,2001
Angels in the Outfield,1994
Breakdown,1997
The Book of Life,2014
Sommersby,1993
Absolute Power,1997
Evita,1996
Stigmata,1999
Home on the Range,2004
Under Siege 2: Dark Territory,1995
When a Man Loves a Woman,1994
Last Action Hero,1993
A Walk in the Clouds,1995
Little Women,1994
The Deer Hunter,1979
Reds,1981
The Way We Were,1973
Red Tails,2012
Pain & Gain,2013
Legal Eagles,1986
Popeye,1980
Major League,1989
Racing Stripes,2005
Are We Done Yet?,2007
Oliver & Company,1988
Australia,2008
"Planes, Trains & Automobiles",1987
Old Dogs,2009
Runaway Jury,2003
Land of the Lost,2009
Shampoo,1975
National Lampoon's European Vacation,1985
A Nightmare on Elm Street 4: The Dream Master,1988
My Sister's Keeper,2009
The Possession,2012
This Christmas,2007
Bugsy,1991
Cobra,1986
Michael Clayton,2007
Diary of a Wimpy Kid: Dog Days,2012
Men of Honor,2000
The Rescuers,1977
Firewall,2006
About Last Night,2014
The Omen,1976
Date Movie,2006
Miss Congeniality 2: Armed and Fabulous,2005
The Dilemma,2011
Peter Pan: Return to Neverland,2002
Peter Pan,2003
Just Like Heaven,2005
The Game,1997
The House Bunny,2008
Malcolm X,1992
G.I. Jane,1997
Fat Albert,2004
The Preacher's Wife,1996
Tightrope,1984
Speed 2: Cruise Control,1997
The Land Before Time,1988
Sinister,2012
Kick-Ass,2010
Kubo and the Two Strings,2016
Single White Female,1992
Nim's Island,2008
The Huntsman: Winter’s War,2016
Wayne's World 2,1993
Secret Window,2004
The Natural,1984
The Blue Lagoon,1980
The Skeleton Key,2005
The Jungle Book 2,2003
When a Stranger Calls,2006
Premonition,2007
Big Fat Liar,2002
Alien: Resurrection,1997
Manchester by the Sea,2016
Dan in Real Life,2007
The Rundown,2003
New Jack City,1991
Into the Storm,2014
Precious (Based on the Novel Push by Sapphire),2009
Volcano,1997
Agent Cody Banks,2003
An American Tail,1986
Jupiter Ascending,2015
The Kingdom,2007
Poltergeist,2015
Kingdom of Heaven,2005
Hard To Kill,1990
Munich,2005
Hostel,2006
Savages,2012
Airport 1975,1974
Nanny McPhee,2006
Warcraft,2016
First Blood,1982
The Judge,2014
The Toy,1982
Kate and Leopold,2001
Killers,2010
Jersey Boys,2014
Shooter,2007
Halloween,1978
Silent Hill,2006
Urban Cowboy,1980
"See No Evil, Hear No Evil",1989
Final Destination 2,2003
Sicario,2015
Practical Magic,1998
How to be Single,2016
The River Wild,1994
The Spy Who Loved Me,1977
Boogeyman,2005
Goodfellas,1990
"Dude, Where's My Car?",2000
Fletch,1985
Dog Day Afternoon,1975
Colors,1988
Look Who's Talking Too,1990
The Rocketeer,1991
Phone Booth,2003
The Brady Bunch Movie,1995
How the West Was Won,1963
Arthur Christmas,2011
The Distinguished Gentleman,1992
The Best Exotic Marigold Hotel,2012
Romeo+Juliet,1996
It's a Mad Mad Mad Mad World,1963
Addams Family Values,1993
Blended,2014
Deep Sea 3D,2006
Walking Tall,2004
The Enforcer,1976
One Fine Day,1996
Deliverance,1972
Malice,1993
Made of Honor,2008
Mike and Dave Need Wedding Dates,2016
Gangster Squad,2013
The Full Monty,1997
The Rainmaker,1997
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Black Rain,1989
The Breakfast Club,1985
Snatched,2017
Underworld 3: Rise of the Lycans,2009
Firefox,1982
Saw 3D,2010
RoboCop 2,1990
College Road Trip,2008
D2: The Mighty Ducks,1994
The Legend of Zorro,2005
The Tigger Movie,2000
Cats & Dogs: The Revenge of Kitty Galore,2010
Moonrise Kingdom,2012
"O Brother, Where Art Thou?",2000
In Good Company,2004
The Man From U.N.C.L.E.,2015
Grizzly Adams,1975
Thelma & Louise,1991
Bean,1997
The Dirty Dozen,1967
Here Comes the Boom,2012
Domestic Disturbance,2001
Zoolander,2001
The Great Wall,2017
The Giver,2014
28 Days Later…,2003
Hall Pass,2011
Spotlight,2015
Going in Style,2017
Full Metal Jacket,1987
Convoy,1978
Deep Throat,1972
Smurfs: The Lost Village,2017
Frequency,2000
Medicine Man,1992
Scarface,1983
Made In America,1993
Cop Land,1997
xXx: Return of Xander Cage,2017
Cop Out,2010
Timecop,1994
All Eyez on Me,2017
Red Dawn,2012
A Nightmare On Elm Street 3: Dream Warriors,1987
Midnight Cowboy,1969
The Replacements,2000
Young Guns,1988
The Negotiator,1998
Jeremiah Johnson,1972
Magnum Force,1973
The Internship,2013
The Artist,2011
Meet Joe Black,1998
Lost in Translation,2003
Napoleon Dynamite,2004
The Odd Couple,1968
"McFarland, USA",2015
Nothing To Lose,1997
No se Aceptan Devoluciones,2013
The Good Son,1993
Valley of the Dolls,1967
The Jungle Book,1994
The Three Stooges,2012
Confessions of a Shopaholic,2009
Amistad,1997
Young Guns II,1990
St. Vincent,2014
The Lovely Bones,2009
The Sisterhood of the Traveling Pants 2,2008
Passenger 57,1992
The Shining,1980
The Last Emperor,1987
Speed Racer,2008
The One,2001
Love at First Bite,1979
The Fox and the Hound,1981
Must Love Dogs,2005
Prom Night,2008
Soul Surfer,2011
Wall Street,1987
Diamonds Are Forever,1971
License to Wed,2007
The Gift,2015
Underdog,2007
Pokemon 2000,2000
West Side Story,1961
Tears of the Sun,2003
Under the Tuscan Sun,2003
Police Academy 3: Back in Training,1986
Need for Speed,2014
We Are Marshall,2006
Soul Food,1997
City Slickers II: The Legend of Curly's Gold,1994
A River Runs Through It,1992
Year One,2009
Edge of Darkness,2010
Everest,2015
Star Trek: Nemesis,2002
Marked for Death,1990
Midway,1976
Point Break,1991
Biloxi Blues,1988
No Reservations,2007
You Only Live Twice,1967
The Transporter 2,2005
Reign of Fire,2002
Wag the Dog,1997
John Wick,2014
The Night Before,2015
War Dogs,2016
The Longest Yard,1974
Regarding Henry,1991
Escape from Alcatraz,1979
Meatballs,1979
Rumor Has It,2005
Sense and Sensibility,1995
Snitch,2013
California Suite,1978
The Devil's Own,1997
Gulliver's Travels,2010
Rambo,2008
Death at a Funeral,2010
The Lizzie McGuire Movie,2003
Krampus,2015
Heartbreak Ridge,1986
A Million Ways to Die in The West,2014
Because I Said So,2007
The Unborn,2009
The Electric Horseman,1979
Max,2015
Glory Road,2006
The Age of Adaline,2015
Final Destination 5,2011
Beverly Hills Cop III,1994
The Four Seasons,1981
Casino,1995
Welcome Home Roscoe Jenkins,2008
To Sir With Love,1967
Mask,1985
47 Meters Down,2017
Step Up 3D,2010
The Bad News Bears,1976
Resident Evil: Retribution,2012
Birdman or (The Unexpected Virtue of Ignorance),2014
Blue Thunder,1983
Bullitt,1968
Lady in the Water,2006
Teenage Mutant Ninja Turtles III,1993
Jaws 3-D,1983
The Beverly Hillbillies,1993
Planet 51,2009
White Nights,1985
Drag Me To Hell,2009
The Cabin in the Woods,2012
Fever Pitch,2005
Secondhand Lions,2003
Almost Christmas,2016
Spanglish,2004
Dirty Rotten Scoundrels,1988
Riddick,2013
Dolphin Tale 2,2014
Around the World in 80 Days,1956
Meet the Browns,2008
Donnie Brasco,1997
Thirteen Ghosts,2001
Nights in Rodanthe,2008
Always,1989
The Return of the Pink Panther,1975
Homeward Bound: The Incredible Journey,1993
Exorcist: The Beginning,2004
The Fisher King,1991
Aliens vs. Predator - Requiem,2007
The Hills Have Eyes,2006
Easy Rider,1969
The Hours,2002
Cheech & Chong's Next Movie,1980
Ronin,1998
Orphan,2009
Up in Smoke,1978
High Crimes,2002
Bandits,2001
Three Days of the Condor,1975
Gremlins 2: The New Batch,1990
The Great Outdoors,1988
Pale Rider,1985
Peggy Sue Got Married,1986
Cabaret,1972
Gosford Park,2001
The Mirror Has Two Faces,1996
The Peacemaker,1997
A Walk to Remember,2002
Private Parts,1997
The French Connection,1971
What to Expect When You're Expecting,2012
Out of Time,2003
Money Talks,1997
Orange County,2002
The Last Exorcism,2010
Money Monster,2016
John Tucker Must Die,2006
End of Watch,2012
2010,1984
Poltergeist II: The Other Side,1986
The Ides of March,2011
Rocky V,1990
Pee Wee's Big Adventure,1985
The Siege,1998
Windtalkers,2002
Falling Down,1993
Revenge of the Nerds,1984
House on Haunted Hill,1999
About a Boy,2002
Brewster's Millions,1985
Short Circuit,1986
Max Payne,2008
Mysteries of Egypt,1998
Three Fugitives,1989
Pleasantville,1998
The Dark Crystal,1982
Duplicity,2009
Ghost in the Shell,2017
Jagged Edge,1985
Bill & Ted's Excellent Adventure,1989
Pretty in Pink,1986
Stranger Than Fiction,2006
Foul Play,1978
The Water Horse: Legend of the Deep,2007
Swiss Family Robinson,1960
The Master of Disguise,2002
Heartbreakers,2001
The Faculty,1998
I Am Sam,2001
Hanna,2011
Hardball,2001
There Will Be Blood,2007
Bridget Jones: The Edge Of Reason,2004
Catwoman,2004
Mo' Money,1992
Legion,2010
The Piano,1993
Big Business,1988
Resident Evil,2002
Blue Crush,2002
The Wild Thornberrys Movie,2002
Allied,2016
Hannah and Her Sisters,1986
Righteous Kill,2008
You Got Served,2004
Encino Man,1992
Funny Lady,1975
Collateral Damage,2002
A Haunted House,2013
Man of the House,1995
I Still Know What You Did Last Summer,1998
Manhattan,1979
The Illusionist,2006
Caddyshack,1980
The Beach,2000
Friday the 13th,1980
Epic Movie,2007
Tequila Sunrise,1988
The Ladykillers,2004
Hitman,2007
Jackie Brown,1997
Out for Justice,1991
30 Days of Night,2007
The Texas Chainsaw Massacre: The Beginning,2006
Crazy Heart,2009
Nobody's Fool,1994
Little Nicky,2000
Burlesque,2010
Rugrats Go Wild,2003
Body of Lies,2008
Dead Man Walking,1995
Joe Versus the Volcano,1990
Hocus Pocus,1993
The Expendables 3,2014
Blind Date,1987
Lakeview Terrace,2008
Anna and the King,1999
Three Amigos,1986
Pitch Black,2000
The Adventures of Sharkboy and Lavagirl in 3-D,2005
Enough,2002
King Arthur: Legend of the Sword,2017
Roxanne,1987
The Grudge 2,2006
The Crazies,2010
Girls Trip,2017
What's Love Got to Do With It,1993
The Longest Day,1962
The Sisterhood of the Traveling Pants,2005
Something Borrowed,2011
Primary Colors,1998
Yentl,1983
Fracture,2007
Earth to Echo,2014
Romeo and Juliet,1968
Red Dawn,1984
French Kiss,1995
K-9,1989
"The Karate Kid, Part III",1989
Little Shop of Horrors,1986
About Last Night...,1986
Stardust,2007
Happy Gilmore,1996
Hot Shots! Part Deux,1993
On Deadly Ground,1994
Nerve,2016
Surrogates,2009
The Ghost and the Darkness,1996
Sex Tape,2014
Spy Kids: All the Time in the World,2011
Rock of Ages,2012
Running Scared,1986
Bachelor Party,1984
Gridiron Gang,2006
Midnight Run,1988
Last Holiday,2006
Pride & Prejudice,2005
47 Ronin,2013
City Heat,1984
Brooklyn,2015
Evolution,2001
Conan the Barbarian,1982
Annie Hall,1977
Meet the Spartans,2008
Undercover Brother,2002
Cruel Intentions,1999
The In-Laws,1979
Starting Over,1979
Scream 4,2011
Ten Things I Hate About You,1999
Jonas Brothers: The 3D Concert Experience,2009
The Original Kings of Comedy,2000
Ninja Assassin,2009
The Running Man,1987
Treasure Planet,2002
Spaceballs,1987
Urban Legend,1998
Harold & Kumar Escape from Guantanamo Bay,2008
Ri¢hie Ri¢h,1994
Higher Learning,1995
The Terminator,1984
Mannequin,1987
Dead Again,1991
Postcards from the Edge,1990
Showtime,2002
Seven Years in Tibet,1997
40 Days and 40 Nights,2002
First Sunday,2008
"Big Mommas: Like Father, Like Son",2011
Jeepers Creepers,2001
The Dead Pool,1988
The Brothers Grimm,2005
Not Another Teen Movie,2001
Wild,2014
Bedazzled,2000
All That Jazz,1979
St. Elmo's Fire,1985
The Black Stallion,1979
Head of State,2003
Mighty Morphin Power Rangers: The Movie,1995
It Could Happen To You,1994
Mars Attacks!,1996
The Secret Life of Bees,2008
Sky Captain and the World of Tomorrow,2004
Autumn in New York,2000
August:  Osage County,2013
For Colored Girls,2010
Philomena,2013
How Stella Got Her Groove Back,1998
Good Boy!,2003
Red Riding Hood,2011
El Laberinto del Fauno,2006
The Nativity Story,2006
Tom Jones,1963
The Fly,1986
Out of Sight,1998
In Time,2011
Bill & Ted's Bogus Journey,1991
Abraham Lincoln: Vampire Hunter,2012
The Money Pit,1986
The Doctor,1991
Lawrence of Arabia,1962
Invictus,2009
The Back-up Plan,2010
Raising Helen,2004
The Longest Ride,2015
Man of the Year,2006
Paul,2011
Oliver!,1968
Time Bandits,1981
Lawless,2012
The Wild,2006
First Knight,1995
Revenge of the Pink Panther,1978
J. Edgar,2011
The Roommate,2011
Jumping the Broom,2011
The Main Event,1979
Crossroads,2002
Semi-Tough,1977
The Guilt Trip,2012
Brubaker,1980
The Family That Preys,2008
Uptown Girls,2003
The Change-Up,2011
Sphere,1998
30 Minutes or Less,2011
Keeping the Faith,2000
28 Days,2000
Fight Club,1999
State of Play,2009
Cheech & Chong's Nice Dreams,1981
Clockstoppers,2002
That's My Boy,2012
The Family,2013
16 Blocks,2006
Risen,2016
Matchstick Men,2003
Just Cause,1995
My Favorite Martian,1999
Notorious,2009
Kiss of the Dragon,2001
Bounce,2000
South Pacific,1958
The Brave One,2007
The Heartbreak Kid,2007
The Paper,1994
Junior,1994
The Getaway,1972
The Sword and the Sorcerer,1982
Recess: School's Out,2001
Friday the 13th Part 3,1982
Best Friends,1982
Colombiana,2011
Vampires Suck,2010
Gung Ho,1986
Taxi,2004
Freedom Writers,2007
Accepted,2006
"Tarzan, The Ape Man",1981
Carlito's Way,1993
Soapdish,1991
Vegas Vacation,1997
"To Wong Foo Thanks for Everything, Julie Newmar",1995
Million Dollar Arm,2014
8MM,1999
The Thin Red Line,1998
Sucker Punch,2011
Beauty Shop,2005
Death Race,2008
Universal Soldier,1992
Alive,1993
National Security,2003
Sliver,1993
The Sentinel,2006
The Nice Guys,2016
Mad Max Beyond Thunderdome,1985
Silent Movie,1976
Last Tango in Paris,1972
Breakin',1984
Walking with Dinosaurs,2013
Set It Off,1996
Hanging Up,2000
Derailed,2005
The Born Losers,1967
The Greatest Show on Earth,1952
Pete’s Dragon,1977
The Robe,1953
What a Girl Wants,2003
In the Bedroom,2001
Mortal Kombat: Annihilation,1997
The Pink Panther 2,2009
The Theory of Everything,2014
Taps,1981
The Black Hole,1979
The Boy,2016
The Island,2005
Shine,1996
Trouble with the Curve,2012
Changeling,2008
Murder on the Orient Express,1974
The China Syndrome,1979
Robin Hood: Men in Tights,1993
Other People's Money,1991
Smokin' Aces,2007
The Indian in the Cupboard,1995
Jeepers Creepers II,2003
Silkwood,1983
Larry Crowne,2011
The American,2010
Dirty Grandpa,2016
Children of Men,2006
No Way Out,1987
Green Zone,2010
Selena,1997
The Ringer,2005
The Boy Next Door,2015
The Gauntlet,1977
Live and Let Die,1973
The `Burbs,1989
The Messengers,2007
A Goofy Movie,1995
Intolerable Cruelty,2003
Money Train,1995
Frankenweenie,2012
Carrie,2013
All of Me,1984
The Flintstones in Viva Rock Vegas,2000
The Mothman Prophecies,2002
Honeymoon in Vegas,1992
The Number 23,2007
For Love of the Game,1999
K-19: The Widowmaker,2002
Star Wars: The Clone Wars,2008
Ouija: Origin of Evil,2016
Mermaids,1990
Under the Sea 3D,2009
Summer School,1987
Dragon: The Bruce Lee Story,1993
Deck the Halls,2006
Pan,2015
The Hot Chick,2002
Step Up Revolution,2012
Commando,1985
A Very Harold & Kumar 3D Christmas,2011
Drive,2011
Tyler Perry's Good Deeds,2012
Good Luck Chuck,2007
50/50,2011
The Skulls,2000
Giant,1956
Midnight Express,1978
Red Heat,1988
Richard Pryor Live on the Sunset Strip,1982
The 5th Wave,2016
Places in the Heart,1984
The Bible,1966
A Thin Line Between Love & Hate,1996
Freddy's Dead: The Final Nightmare,1991
Take the Lead,2006
White Fang,1991
Dangerous Liaisons,1988
Judge Dredd,1995
The Other Side of the Mountain,1975
Addicted To Love,1997
Licence to Kill,1989
Cradle 2 the Grave,2003
Jack Frost,1998
Hostage,2005
The Killing Fields,1984
Mississippi Burning,1988
Man on the Moon,1999
Hot Pursuit,2015
Thirteen Days,2000
Hawaii,1966
The 6th Day,2000
Concussion,2015
Courageous,2011
Woodstock,1970
Heat,1987
Monster,2003
The Doors,1991
Like Father Like Son,1987
Eternal Sunshine of the Spotless Mind,2004
Inferno,2016
The Watch,2012
Texas Chainsaw 3D,2013
Thoroughly Modern Millie,1967
Muppet Treasure Island,1996
Little Darlings,1980
Malibu's Most Wanted,2003
Babel,2006
Alexander,2004
This is Where I Leave You,2014
Tommy,1975
The Hunted,2003
Excalibur,1981
The Reader,2008
1941,1979
Magnificent Desolation,2005
Instinct,1999
The Best Man,1999
My Dog Skip,2000
"Everything, Everything",2017
The Truth About Cats & Dogs,1996
The DUFF,2015
Snakes on a Plane,2006
Closer,2004
The Relic,1997
She's the Man,2006
Mickey Blue Eyes,1999
All About Steve,2009
The Pink Panther Strikes Again,1976
Stuck On You,2003
Adventures in Babysitting,1987
Where the Heart Is,2000
Porky's II: The Next Day,1983
Who's Afraid of Virginia Wolf?,1966
The Wizard of Oz,1939
Dreamcatcher,2003
The Gambler,2014
Devil,2010
The Punisher,2004
Marmaduke,2010
Curly Sue,1991
R.I.P.D.,2013
Flags of Our Fathers,2006
The Turning Point,1977
Nell,1994
The Constant Gardener,2005
I Spy,2002
King Ralph,1991
Pay it Forward,2000
Semi-Pro,2008
Fireproof,2008
The Long Kiss Goodnight,1996
Doubt,2008
Street Fighter,1994
Black Knight,2001
Blue Jasmine,2013
The Planet of the Apes,1968
Rosemary's Baby,1968
Halloween 2,2009
Monster Trucks,2017
See Spot Run,2001
2016: Obama’s America,2012
The Informant!,2009
Absence of Malice,1981
Woman in Gold,2015
